x,y
18-11-2020,0.002
19-11-2020,0.017
20-11-2020,0.008
21-11-2020,-0.001
22-11-2020,0
23-11-2020,0.004
24-11-2020,0.023
25-11-2020,0.014
26-11-2020,0
27-11-2020,0.002
28-11-2020,-0.001
29-11-2020,0.011
30-11-2020,0.003
1-12-2020,0
2-12-2020,0.008
3-12-2020,0.013
4-12-2020,0.006
5-12-2020,0.012
6-12-2020,-0.003
7-12-2020,0.008
8-12-2020,0.028
9-12-2020,0.019
10-12-2020,0.011
11-12-2020,0.005
12-12-2020,0.016
13-12-2020,0.024
14-12-2020,0.045
15-12-2020,0.015
16-12-2020,0.027
17-12-2020,0.005
18-12-2020,0.007
19-12-2020,0.013
20-12-2020,0.011
21-12-2020,0.018
22-12-2020,0.009
23-12-2020,0.024
24-12-2020,0.001
31-12-2020,0.002
